model,n_cells,median,mean,std,iqr_lo,iqr_hi,pct_above_chance,n_above_chance
GLM,25,0.0034308777259280943,0.015397670038922083,0.07656910563332026,-0.011283764035879162,0.02436724114495037,56.00000000000001,14
XGBoost,25,0.007025842071756383,0.021162161073513742,0.08451902239888134,-0.025121625752927423,0.05854573045322908,52.0,13
NN-PerCell-MLP,25,-0.008440069746008083,0.01851694703585344,0.09113686872631825,-0.02768623713798779,0.0228540657111993,44.0,11
NN-PerCell-CNN,25,-0.0066684302437043375,0.0028466631174521016,0.06722033861149122,-0.019202725120555764,0.016036824609362954,28.000000000000004,7
NN-PerCell-RNN,25,-0.0019907340958218445,0.013452382931437391,0.08007188212362633,-0.01607826233994447,0.013098276746842719,40.0,10
NN-DeepSharedShallowHead-TL-MLP,25,0.013357747120384955,0.03220835742266878,0.08861282226403568,-0.010798583285721586,0.03341666974462343,64.0,16
NN-DeepSharedShallowHead-TL-CNN,25,0.019935730404255003,0.04117567105725065,0.08293117165273829,-0.007612506581103462,0.05324289549637451,68.0,17
NN-DeepSharedShallowHead-TL-RNN,25,0.0007993546426728892,0.017074054623874943,0.056941311397017316,-0.01474957285062195,0.03034321510394089,52.0,13
NN-DeepSharedDeepHead-TL-MLP,25,0.030204615666301504,0.04110885770213681,0.09640734174309626,-0.001443469157960564,0.04925756338253784,72.0,18
NN-DeepSharedDeepHead-TL-CNN,25,0.02632089184965858,0.03885850818286376,0.09054035214477234,-0.011890429284609594,0.056260805481356146,60.0,15
NN-DeepSharedDeepHead-TL-RNN,25,0.0022593531868614347,0.033903031607650236,0.07314120053096973,-0.009567310022956299,0.05406648838506933,56.00000000000001,14
NN-ShallowSharedDeepHead-TL-MLP,25,0.034823642458583826,0.042053292369855784,0.09672995914635484,-0.0022825979635046068,0.04803856553487007,64.0,16
NN-ShallowSharedDeepHead-TL-CNN,25,0.012193566904547759,0.028875310507810142,0.07198911661691663,-0.011181919449147149,0.04495043250360142,56.00000000000001,14
NN-ShallowSharedDeepHead-TL-RNN,25,0.001170331306128869,0.035331730855764305,0.06982376751120821,-0.011719970259746137,0.05707893113835194,60.0,15
